,0
1284,Randy Garutti
1285,Steve Berman
1286,John Lewis
1287,David Robertson
1288,Huntsman Gay
1289,Mary Ann Bartels
1290,Meredith Miller
1291,Leland Miller
1292,George McGovern
1293,Maxime Picat
1294,Robert Gannicott
1295,Steve LeVine
1296,Daniel Gross
1297,Jordan Kelley
1298,Craig Menear
1299,Mrock
1300,SunGard
1301,Dave Gates
1302,Mauricio Romero
1303,George Carris
1304,Steve Bell
1305,Stephen Holmes
1306,David Dodd
1307,Dick Grasso
1308,John Keker
1309,Daniel Thompson
1310,Jack Lingo
1311,Lloyd Blankfein
1312,Umberto Vergine
1313,Larry Gagosian
1314,Marcela Iacub
1315,Eric Schmidt
1316,Harold McGraw
1317,Tony Fernandes
1318,Adam Nash
1319,Josh Charlson
1320,Josh Tetrick
1321,Raul Alfonsin
1322,Frederic Oudea
1323,David McAlvaney
1324,Joseph Goebbels
1325,Ken Gross
1326,Wheelock Whitney
1327,Mark Borkowski
1328,Aktarer Zaman
1329,Rachel Zenzinger
1330,William Janeway
1331,Michael Sweeney
1332,Susan Wojcicki
1333,Stephen Massocca
1334,Scott Quillinan
1335,Kevin Simms
1336,John Currie
1337,Akio Toyoda
1338,Johanna Castillo
1339,Scott Hodge
1340,Mark Hurd
1341,Bill Simon
1342,Charles Vollum
1343,Adam Goldstein
1344,Director Sylvia Burwell
1345,Janet Yang
1346,Tom LaSorda
1347,Nick Robinson
1348,Alan Joyce
1349,Robert Levy
1350,Jack Bovender
1351,Michael Ball
1352,Kevin Maher
1353,Martin Sorrell
1354,Thames
1355,Sander van
1356,Sheldon Adelson
1357,Jeff Mason
1358,Jordan Barowitz
