,0
1394,17%
1395,5.4%
1396,78%
1397,34%
1398,2.8%
1399,3.9%
1400,2.3%
1401,5.8%
1402,14.6%
1403,14.6%
1404,98%
1405,1%
1406,99.5%
1407,2%
1408,1%
1409,1%
1410,99.5%
1411,1.9%
1412,30%
1413,2.08%
1414,0.3%
1415,5%
1416,7%
1417,0.6%
1418,1.7%
1419,1%
1420,3%
1421,5%
1422,6%
1423,7%
1424,7.5%
1425,13%
1426,2%
1427,2%
1428,10%
1429,2%
1430,+2.7%
1431,+2.3%
1432,72.2%
1433,72.4%
1434,72.7%
1435,2%
1436,%
1437,1%
1438,-2%
1439,3%
1440,-4%
1441,0.27%
1442,0.6%
1443,2%
1444,15%
1445,50%
1446,10%
1447,9%
1448,19.7%
1449,28.4%
1450,25.5%
1451,2%
1452,100%
1453,1.2%
1454,6%
1455,5%
1456,11%
1457,6%
1458,6%
1459,4%
1460,2%
1461,13%
1462,14%
1463,13%
1464,16.6%
1465,16.2%
1466,10%
1467,7%
1468,4%
1469,2%
1470,11%
1471,8%
1472,20.8%
1473,1%
1474,41%
1475,18%
1476,7.3%
1477,6.2%
1478,28%
1479,11%
1480,14%
1481,26%
1482,33.7%
1483,34.3%
1484,13%
1485,24%
1486,25.5%
1487,23.2%
1488,34%
1489,24%
1490,23%
1491,37%
1492,100%
1493,5%
1494,8%
1495,40%
1496,8.69%
1497,0.13%
1498,11.6%
1499,4.9%
1500,3.03%
1501,3.26%
1502,4.53%
1503,5.0%
1504,1%
1505,73%
1506,68%
1507,67%
1508,.86%
1509,66%
1510,60%
1511,80%
1512,3.73%
1513,1.5%
1514,+1.04%
1515,1%
1516,0.20%
1517,11%
1518,30%
1519,31%
1520,38.6%
1521,31.6%
1522,37.0%
1523,29.4%
1524,10%
1525,12%
1526,20%
1527,45%
1528,50%
1529,30%
1530,35%
1531,25%
1532,10%
1533,40%
1534,47%
1535,60%
1536,59.8%
1537,50%
1538,10%
1539,0.35%
1540,20%
1541,20%
1542,182%
1543,3%
1544,2%
1545,85%
1546,11%
1547,"15,600%"
1548,63%
1549,10%
1550,5-10%
1551,8.24%
1552,10%
1553,50%
1554,10%
1555,50%
1556,8.24%
1557,13.9%
1558,15.6%
1559,15%
1560,10%
1561,30%
1562,2%
1563,8.75%
1564,12%
1565,0.5%
1566,34%
1567,20%
1568,70%
1569,100%
1570,1.7%
1571,6.1%
1572,4.4%
1573,15%
1574,20%
1575,6%
1576,8%
1577,+10%
1578,4%
1579,20%
1580,5.8%
1581,1.9%
1582,1%
1583,14.5%
1584,15.8%
1585,-47.5%
1586,-22.2%
1587,-16.8%
1588,2.1%
1589,76.8%
1590,11%
1591,15%
1592,12.3%
1593,20%
1594,9.2%
1595,10.2%
1596,16.8%
1597,26.2%
1598,28.2%
1599,.01%
1600,10%
1601,60%
1602,10%
1603,10%
1604,+1.2%
1605,+1.9%
1606,70%
1607,20%
1608,5%
1609,-4.2%
1610,0.3%
1611,2.25%
1612,14.19%
1613,100%
1614,44.2%
1615,36.7%
1616,2%
1617,15%
1618,30%
1619,1.6%
1620,5.2%
1621,7.7%
1622,99%
1623,30%
1624,2%
1625,32%
1626,10%
1627,13%
1628,10%
1629,25%
1630,177.37%
1631,50%
1632,2-3%
1633,2%
1634,100%
1635,90%
1636,20%
1637,5%
1638,27%
1639,30%
1640,50%
1641,10%
1642,90%
1643,8-10%
1644,100%
1645,11.9%
1646,5.8%
1647,5.6%
1648,4.1%
1649,1.30%
1650,7%
1651,2%
1652,95%
1653,8%
1654,8%
1655,34%
1656,1%
1657,8%
1658,5%
1659,0.13%
1660,14%
1661,23%
1662,6-8%
1663,9%
1664,4.5%
1665,4.4%
1666,70%
1667,25%
1668,70%
1669,70%
1670,58%
1671,62%
1672,10%
1673,51%
1674,77%
1675,41%
1676,63%
1677,90%
1678,61%
1679,82%
1680,49%
1681,53%
1682,58%
1683,38%
1684,92%
1685,62%
1686,38%
1687,72%
1688,82%
1689,87%
1690,98%
1691,97%
